Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2016,1107,Ontario Power Generation Inc.,Nanticoke Generating Station,Nanticoke,221112,0,0,0,0,0,0,0,0,0,0,0,Ernst & Young LLP
2017,1072,Imperial Oil,Imperial Oil Nanticoke Refinery,Nanticoke,324110,936337.2,0,5638.374,3375.28,0,0,0,0,945351,945351,945351,Stantec Consulting Ltd.
2018,1072,Imperial Oil,Imperial Oil Nanticoke Refinery,Nanticoke,324110,1184709.4,0,6278.748,4056.97,0,0,0,0,1195046,1195046,1195046,Stantec Consulting Ltd.
2010,1131,"Strathcona Paper GP INC,",Strathcona Paper LP,Napanee,322130,30592,0,14,166,0,0,0,,30772,30772,,
2011,1131,Strathcona Paper GP Inc.,Strathcona Paper LP,Napanee,322130,31564.73,0,12.978,170.81,0,0,0,,31749,31749,31749,"DEKRA Certification, Inc."
2012,1131,Strathcona Paper GP Inc.,Strathcona Paper LP,Napanee,322130,29892.76,0,12.369,162.75,0,0,0,,30068,30068,30068,"DEKRA Certification, Inc."
2013,1131,Strathcona Paper GP Inc.,Strathcona Paper LP,Napanee,322130,29587.427,0,12.243,161.2,0,0,0,,29761,29761,29761,RWDI AIR Inc.
2014,1131,Strathcona Paper GP Inc.,Strathcona Paper LP,Napanee,322130,30308.707,0,12.537,164.92,0,0,0,,30487,30487,30487,RWDI AIR Inc.
2015,1131,Strathcona Paper GP Inc.,Strathcona Paper LP,Napanee,322130,31242.893,0,12.936,170.19,0,0,0,0,31427,31427,31427,RWDI AIR Inc.
2015,1219,Goodyear Canada Inc.,Goodyear Canada Inc. Napanee Plant,Napanee,326210,17990.09,0,7.644,99.82,0,0,0,0,18098,18098,18098,GHD Limited (formerly CRA)
2016,1131,Strathcona Paper GP Inc.,Strathcona Paper LP,Napanee,322130,32543.9,0,13.461,177.01,0,0,0,0,32735,32735,32735,RWDI AIR Inc.
2016,1219,Goodyear Canada Inc.,Goodyear Canada Inc.,Napanee,326210,18233.96,0,7.707,110.05,0,0,0,0,18352,18352,18352,GHD Limited (formerly CRA)
2017,1131,Strathcona Paper GP Inc.,Strathcona Paper LP,Napanee,322130,32376.383,0,13.398,176.39,0,0,0,0,32567,32567,32567,GHD Limited
2017,1219,Goodyear Canada Inc.,Goodyear Canada Inc.,Napanee,326210,17893.31,0,7.434,98.89,0,0,0,0,18000,18000,18000,GHD
2018,1131,Strathcona Paper GP Inc.,Strathcona Paper LP,Napanee,322130,31542.644,0,13.041,171.74,0,0,0,0,31728,31728,31728,GHD
2018,1219,Goodyear Canada Inc.,Goodyear Canada Inc.,Napanee,326210,19684.94,0,8.148,108.5,0,0,0,0,19802,19802,19802,
2012,1160,York Energy Centre LP,York Energy Centre,Newmarket,221112,66808.3,0,365.9817,540.268,0,0,0,,67715,67715,67715,NSF International
2013,1160,York Energy Centre LP,York Energy Centre,Newmarket,221112,41153.788,0,225.435,332.94,0,0,0,,41713,41713,41713,NSF International
2014,1160,York Energy Centre LP,York Energy Centre,Newmarket,221112,43504.9161,0,238.329,351.85,0,0,0,,44096,44096,44096,NSF International
2015,1160,York Energy Centre LP,York Energy Centre,Newmarket,221112,29356.313,0,160.818,237.46,0,0,0,0,29755,29755,29755,NSF International
2016,1160,York Energy Centre LP,York Energy Centre,Newmarket,221112,24461.336,0,134.001,197.78,0,0,0,0,24794,24794,24794,NSF-ISR
2017,1160,York Energy Centre LP,York Energy Centre,Newmarket,221112,18224.191,0,99.834,147.374,0,0,0,0,18472,18472,18472,GHD Limited
2018,1160,York Energy Centre LP,York Energy Centre,Newmarket,221112,11826.043,0,64.785,95.48,0,0,0,0,11987,11987,11987,GHD Limited
2015,1256,Ontario Lottery and Gaming and Gaming Corporation operating as NIagara Fallsview CasinoResort,Fallsview Casino Resort,Niagara Falls,721120,12374.67,0,5.12,71.4339,0,0,0,0,12452,12452,12452,Enviro-Access Inc.
2016,1256,Ontario Lottery and Gaming and Gaming Corporation operating as NIagara Fallsview CasinoResort,Fallsview Casino Resort,Niagara Falls,721120,12270.99,0,5.0771,70.8353,0,0,0,0,12347,12347,12347,GHD Limited (formerly CRA)
2017,1256,Ontario Lottery and Gaming and Gaming Corporation operating as Niagara Fallsview Casino Resort,Fallsview Casino Resort,Niagara Falls,721120,12185.16,0,5.0416,70.3399,0,0,0,0,12261,12261,12261,GHD Limited
2018,1256,Ontario Lottery and Gaming and Gaming Corporation operating as Niagara Fallsview Casino Resort,Fallsview Casino Resort,Niagara Falls,721120,12702.15,0,5.1963,72.5605,0,0,0,0,12780,12780,12780,
2015,1233,St. David's Hydroponics Ltd.,St. David's Hydroponics,Niagara on the Lake,111419,14761,0,6.09,86.8,0,0,0,0,14854,14854,14854,GHD Limited (formerly CRA)
2016,1233,St. David's Hydroponics Ltd.,St. David's Hydroponics,Niagara on the Lake,111419,13683.79,0,5.7072,79.6948,0,0,0,0,13770,13770,13770,GHD Limited (formerly CRA)
2017,1233,St. David's Hydroponics Ltd.,St. David's Hydroponics,Niagara on the Lake,111419,15399,0,6.3712,88.8925,0,0,0,0,15495,15495,15495,GHD
2018,1233,St. David's Hydroponics Ltd.,St. David's Hydroponics,Niagara on the Lake,111419,19941,0,8.253,115.01,0,0,0,0,20065,20065,20065,
2010,1008,Capital Power Income L.P.,Nipigon Power Plant,Nipigon,221112,105451,0,578,853,0,0,0,,106882,106882,,
2011,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,99908,0,547.3045,814.8741,0,0,0,,101271,101271,101271,Stantec Consulting Ltd.
2012,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,104045,0,569.9631,848.6123,0,0,0,,105464,105464,105464,Stantec Consulting Ltd.
2013,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,101774,0,557.5277,823.0175,0,0,0,,103155,103155,103155,Conestoga-Rovers & Associates Limited (CRA)
2014,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,92470,0,506.52,747.1,0,0,0,,93724,93724,93724,Conestoga-Rovers & Associates Limited (CRA)
2015,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,111249.044,0,609.42,899.93,0,0,0,0,112759,112759,112759,GHD Limited (formerly CRA)
2016,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,114094,0,625.023,922.56,0,0,0,0,115642,115642,115642,GHD Limited (formerly CRA)
2017,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,121.3336,0,0.0504,0.651,0,0,0,0,123,123,123,GHD Limited
2018,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,212.72,0,0.0882,1.178,0,0,0,0,214,214,214,GHD Limited
2010,1009,Capital Power Income L.P.,North Bay Power Plant,North Bay,221112,133453,0,731,1079,0,0,0,,135264,135264,,
2011,1009,Atlantic Power LP,North Bay,North Bay,221112,126571.01,0,693.3654,1032.3425,0,0,0,,128297,128297,128297,Stantec Consulting Ltd.
2012,1009,Atlantic Power LP,North Bay,North Bay,221112,129333.34,0,708.4978,1054.868,0,0,0,,131097,131097,131097,Stantec Consulting Ltd.
2013,1009,Atlantic Power LP,North Bay,North Bay,221112,126719,0,694.1747,1024.7341,0,0,0,,128438,128438,128438,Conestoga-Rovers & Associates Limited (CRA)
2014,1009,Atlantic Power LP,North Bay,North Bay,221112,125782,0,689.01,1016.8,0,0,0,,127488,127488,127488,Conestoga-Rovers & Associates Limited (CRA)
2015,1009,Atlantic Power LP,North Bay,North Bay,221112,127629.36,0,699.132,1031.99,0,0,0,0,129361,129361,129361,GHD Limited (formerly CRA)
2016,1009,Atlantic Power LP,North Bay Power Plant,North Bay,221112,125183.76,0,685.86,1012.46,0,0,0,0,126883,126883,126883,GHD Limited (formerly CRA)
2016,1367,North Bay Regional Health Centre,NBRHC,North Bay,622111,11910.75,0,4.935,68.82,0,0,0,0,11985,11985,11985,Enviro-Access Inc.
2017,1009,Atlantic Power LP,North Bay Power Plant,North Bay,221112,75.9099,0,0.0315,0.403,0,0,0,0,77,77,77,GHD Limited
2017,1367,North Bay Regional Health Centre,NBRHC,North Bay,622111,11792.39,0,4.872,68.076,0,0,0,0,11866,11866,11866,Enviro-Acces Inc.
2018,1009,Atlantic Power LP,North Bay Power Plant,North Bay,221112,129.27,0,0.0525,0.744,0,0,0,0,131,131,131,GHD Limited
2018,1367,North Bay Regional Health Centre,NBRHC,North Bay,622111,12016.38,0,2.667,37.355,0,0,0,0,12057,12057,12057,
2010,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,19413,0,413,161,0,0,0,,19988,19988,,
2011,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,27664.41,0,587.37,229.4,0,0,0,,28482,28482,28482,Ernst & Young LLP
2012,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,22303.22,0,471.66,183.21,0,0,0,,22959,22959,22959,Ernst & Young LLP
2013,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,32131.3014,0,682.3257,265.112,0,0,0,,33079,33079,33079,Ernst & Young LLP
2014,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,41949.74,0,889.14,347.2,0,0,0,,43187,43187,43187,Ernst & Young LLP
2015,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,38799.85,0,821.94,319.3,0,0,0,0,39942,39942,39942,Ernst & Young LLP
2016,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,29689.44,0,256719.33,241.8,0,0,0,0,286651,286651,29872,Ernst & Young LLP
2017,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,37147.4847,0,199235.1771,304.1004,0,0,0,0,236687,236687,37556,PricewaterhouseCoopers LLP
2018,1038,Enbridge Gas Inc.,Enbridge Gas Distribution Inc.,North York,221210,38023.41,0,200506.95,307.21,0,0,0,0,238838,238838,38018,PricewaterhouseCoopers LLP
2010,1047,Ford Motor of Canada,Oakville Assembly Plant,Oakville,336110,75837,0,32,424,0,0,0,,76294,76294,,
2011,1047,"Ford Motor Company of Canada, Limited",Oakville Assembly Plant,Oakville,336110,79885.323,0,33.3999,457.684,0,0,0,,80377,80377,80377,"Advanced Waste Management System, Inc."
2012,1047,"Ford Motor Company of Canada, Limited",Oakville Assembly Plant,Oakville,336110,67877.805,0,28.329,385.02,0,0,0,,68292,68292,68292,"Advanced Waste Management System, Inc."
2013,1047,"Ford Motor Company of Canada, Limited",Oakville Assembly Plant,Oakville,336110,70649.157,0,29.358,394.01,0,0,0,,71073,71073,71073,"Advanced Waste Management System, Inc."
2014,1047,"Ford Motor Company of Canada, Limited",Oakville Assembly Plant,Oakville,336110,82520.639,0,34.419,466.55,0,0,0,,83022,83022,83022,"Advanced Waste Management System, Inc."
2015,1047,"Ford Motor Company of Canada, Limited",Oakville Assembly Plant,Oakville,336110,84821.46,0,35.343,478.33,0,0,0,0,85336,85336,85336,"Advanced Waste Management System, Inc."
2016,1047,"Ford Motor Company of Canada, Limited",Ford Oakville Assembly Complex,Oakville,336110,81072.875,0,33.663,459.73,0,0,0,0,81567,81567,81567,"Advanced Waste Management System, Inc."
2016,1347,Halton Healthcare Services Corporation,Oakville Trafalgar Memorial Hospital,Oakville,622111,13486.0004,0,5.5798,77.8491,0,0,0,0,13570,13570,13570,GHD Limited (formerly CRA)
2017,1047,"Ford Motor Company of Canada, Limited",Ford Oakville Assembly Complex,Oakville,336110,79106.1,0,31.92,452.6,0,0,0,0,79591,79591,79591,GHD
2017,1347,Halton Healthcare Services Corporation,Oakville Trafalgar Memorial Hospital,Oakville,622111,13743.2714,0,5.6862,79.3343,0,0,0,0,13829,13829,13829,GHD
2018,1047,"Ford Motor Company of Canada, Limited",Ford Oakville Assembly Complex,Oakville,336110,79621.7,0,34.23,458.8,0,0,0,0,80115,80115,80115,GHD Limited
2018,1347,Halton Healthcare Services Corporation,Oakville Trafalgar Memorial Hospital,Oakville,622111,13877.2178,0,5.7414,80.104,0,0,0,0,13964,13964,13964,
2015,1192,Glencore Canada Corporation,Sudbury Operations Mines/Mill - Onaping Area,Onaping,212232,12813.74,0,5.355,70.99,0,0,0,0,12891,12891,12891,Stantec Consulting Ltd.
2016,1192,Glencore Canada Corporation,Sudbury Operations Mines/Mill - Onaping Area,Onaping,212232,12425,0,5.145,67.58,0,0,0,0,12498,12498,12498,Stantec Consulting Ltd.
2017,1192,"Glencore Canada Corporation, Sudbury INO",Sudbury Operations Mines Mill - Onaping Area,Onaping,212232,12401.181,0,5.166,68.2,0,0,0,0,12475,12475,12475,GHD Limited
2018,1192,Glencore Canada Corporation,Sudbury Operations Mines Mill - Onaping Area,Onaping,212232,13390.175,0,5.607,76.57,0,0,0,0,13473,13473,13473,
2010,1053,General Motors of Canada Limited,Oshawa Car Assembly Plant,Oshawa,336110,130016,0,385,522,0,0,0,,130924,130924,,
2011,1053,General Motors of Canada Limited,Oshawa Car Assembly Plant,Oshawa,336110,136294.408,0,170.373,573.19,0,0,0,,137038,137038,137038,Conestoga-Rovers & Associates Limited (CRA)
2012,1053,General Motors of Canada Limited,Oshawa Car Assembly Plant,Oshawa,336110,109270.795,0,120.729,578.46,0,0,0,,109970,109970,109970,Conestoga-Rovers & Associates Limited (CRA)
2013,1053,General Motors of Canada Limited,Oshawa Car Assembly Plant,Oshawa,336110,126160.1,0,61.782,613.8,0,0,0,,126836,126836,126836,Conestoga-Rovers & Associates Limited (CRA)
2014,1053,General Motors of Canada Limited,Oshawa Car Assembly Plant,Oshawa,336110,109364.181,0,45.255,595.51,0,0,0,,110005,110005,110005,Conestoga-Rovers & Associates Limited (CRA)
2015,1053,General Motors of Canada Company,Oshawa Car Assembly Plant,Oshawa,336110,99646.395,0,41.223,542.5,0,0,0,0,100231,100231,100231,GHD Limited (formerly CRA)
2016,1053,General Motors of Canada Company,Oshawa Car Assembly Plant,Oshawa,336110,89263.781,0,36.939,486.08,0,0,0,0,89787,89787,89787,GHD Limited (formerly CRA)
2016,1339,Lakeridge Health,Lakeridge Health Oshawa,Oshawa,622111,11810.2644,0,4.8864,68.1758,0,0,0,0,11884,11884,11884,GHD Limited (formerly CRA)
2017,1053,General Motors of Canada Company,Oshawa Assembly Plant,Oshawa,336110,82059.089,0,33.957,446.71,0,0,0,0,82540,82540,82540,Stantec
2017,1339,Lakeridge Health,Lakeridge Health Oshawa,Oshawa,622111,10962.7977,0,4.5778,65.9795,0,0,0,0,11034,11034,11034,GHD
2018,1053,General Motors of Canada Company,Oshawa Assembly Plant,Oshawa,336110,99044.934,0,40.971,539.09,0,0,0,0,99625,99625,99625,Stantec
2018,1339,Lakeridge Health,Lakeridge Health Oshawa,Oshawa,622111,13340.1439,0,5.7141,89.497,0,0,0,0,13436,13436,13436,
2010,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,0,45396,191,282,0,0,0,,45871,475,,
2010,1114,Plasco Trail Road,Plasco Trail Road,Ottawa,221119,3108,3920,21,95,0,0,0,,7145,3225,,
2010,1143,TransAlta Cogeneration LP,Ottawa Health Sciences Center Cogeneration Plant,Ottawa,221112,225978,0,323,1774,0,0,0,,228076,228076,,
2011,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,38.008,71522.243,301.1106,445.687,0,0,0,,72308,785.757,786,
2011,1143,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,221112,213818.0515,0,303.4248,1674.589,0,0,0,,215797,215797,215797,Ernst & Young LLP
2012,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,33.99,67656.14,284.8545,421.414,0,0,0,,68397,740,740,
2012,1114,Plasco Energy Group,Plasco Trail Road,Ottawa,221119,11416.583,11722.6739,3.6687,58.187,0,0,0,,23202,11479,11479,
2012,1143,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,221112,218697.5565,0,314.9811,1721.895,0,0,0,,220735,220735,220735,Ernst & Young LLP
2013,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,142.774,71591.419,301.4592,448.291,0,0,0,,72484,892,892,
2013,1143,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,221112,146802.1738,0,200.9721,1135.313,0,0,0,,148139,148139,148139,Ernst & Young LLP
2014,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,171.562,70738.452,297.8787,443.641,0,0,0,,71652,913,913,
2014,1143,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,221112,27914.1989,0,19.7064,179.583,0,0,0,,28114,28114,28114,Ernst & Young LLP
2015,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,121.818,55062.313,21.2079,33.976,0,0,0,0,55240,177,177,
2015,1143,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,221112,39546.196,0,39.039,276.21,0,0,0,0,39862,39862,39862,Ernst & Young LLP
2015,1179,Carleton University,Carleton university,Ottawa,611310,18279,0,7.56,105.4,0,0,0,0,18392,18392,18392,GHD Limited (formerly CRA)
2015,1181,University of Ottawa,Physical Resources Service,Ottawa,611310,16610.6964,0,6.88,96.3601,0,0,0,0,16714,16714,16714,Internat Energy Solutions Canada Inc.
2015,1216,The Ottawa Hospital,Civic Hospital,Ottawa,622111,12895.2799,0,5.3357,74.4446,0,0,0,0,12976,12976,12976,Enviro-Access Inc.
2016,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,109.302,64574.721,24.8787,38.967,0,0,0,0,64748,174,174,
2016,1143,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,221112,31931.7619,0,26.6908,213.5528,0,0,0,0,32173,32173,32173,Ernst & Young LLP
2016,1179,Carleton University,Carleton university,Ottawa,611310,17466,0,7.14,100.8337,0,0,0,0,17574,17574,17574,GHD Limited (formerly CRA)
2016,1181,University of Ottawa,Physical Resources Service,Ottawa,611310,15377.0294,0,6.321,88.2136,0,0,0,0,15472,15472,15472,Internat Energy Solutions Canada Inc.
2016,1216,The Ottawa Hospital,The Ottawa Hospital - Civic campus,Ottawa,622111,12836,0,5.313,74.09,0,0,0,0,12916,12916,12916,Enviro-Access Inc.
2016,1350,Ottawa Health Sciences Center Inc.,Ottawa Health Sciences Center Hospitals,Ottawa,622111,18022.19,0,2.0055,31.744,0,0,0,0,18056,4702,4702,Enviro-Access Inc.
2017,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,127.212,66923.676,25.788,40.92,0,0,0,0,67118,194,194,
2017,1143,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,221112,26742.3731,0,18.7299,171.74,0,0,0,0,26933,26933,26933,GHD
2017,1179,Carleton University,Carleton university,Ottawa,611310,17186.095,0,7.1414,99.2846,0,0,0,0,17293,17293,17293,GHD
2017,1181,University of Ottawa,Physical Resources Service,Ottawa,611310,16592.24,0,6.867,95.79,0,0,0,0,16695,16695,16695,Internat Energy Solutions
2017,1216,The Ottawa Hospital,The Ottawa Hospital - Civic campus,Ottawa,622111,12517.9217,0,5.1786,72.261,0,0,0,0,12596,12596,12596,Enviro-access GHG experts
2017,1350,Ottawa Health Sciences Center Inc.,Ottawa Health Sciences Center Hospitals,Ottawa,622111,4567.3141,0,1.9026,27.1901,0,0,0,0,18683,4597,4597,Enviro-access GHG experts
2017,1406,Certainteed Corp Insulation Group,CertainTeed Insulation Ottawa,Ottawa,325220,10144.4223,0,4.1152,54.1452,0,0,0,0,10203,10203,10203,GHD
2018,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,152.275,73596.175,28.3372,45.074,0,0,0,0,73822,226,226,
2018,1143,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,221112,33696.9326,0,184.5942,272.49,0,180.7,0,0,34335,34335,34155,GHD
2018,1179,Carleton University,Carleton university,Ottawa,611310,18372,0,7.56,106.0634,0,0,0,0,18486,18486,18486,
2018,1181,University of Ottawa,Physical Resources Service,Ottawa,611310,18464.76,0,165.9,33039.8,0,0,0,0,51671,51671,51671,
2018,1216,The Ottawa Hospital,The Ottawa Hospital - Civic campus,Ottawa,622111,13901.96,0,5.754,80.2497,0,0,0,0,13988,13988,13988,
2018,1350,Ottawa Health Sciences Center Inc.,Ottawa Health Sciences Center Hospitals,Ottawa,622111,4686.66,0,1.9383,27.063,0,0,0,0,19701,4716,4716,
2018,1406,Certainteed Corp Insulation Group,CertainTeed Insulation Ottawa,Ottawa,325220,10810.04,0,4.368,57.35,0,0,0,0,10872,10872,10872,
2015,1184,Pembroke MDF Inc.,Pembroke MDF Inc.,Pembroke,321216,4614,48859,83.811,366.11,0,0,0,0,53923,5064,5064,
2017,1184,Roseburg Forest Products Canada Ltd.,Roseburg Pembroke MDF,Pembroke,321216,19569.171,56025.153,384.804,848.16,0,0,0,0,76828,20803,20803,
2018,1184,Roseburg Forest Products Canada Ltd.,Roseburg Forest Products Canada Ltd. (Pembroke MDF),Pembroke,321216,6993.62,73770.62,181.482,1649.2,0,0,0,0,82595,8825,8825,
2011,1110,"PepsiCo Foods Canada, A division of PepsiCo Canada ULC",Quaker Peterborough Plant,Peterborough,311230,0,0,0,0,0,0,0,,0,0,0,
2010,1036,Eastern Power Ltd.,Brock West Landfill Gas Power Plant,Pickering,221119,13413,7714,107,171,0,0,0,,21405,13691,,
2011,1036,Eastern Power Ltd.,Brock West Landfill Gas Power Plant,Pickering,221119,13413,18208,173.25,25.73,0,0,0,,31820,13612,13612,
2012,1036,Eastern Power Ltd.,Brock West Landfill Gas Power Plant,Pickering,221119,13951,2123,85.47,124.93,0,0,0,,16285,14162,14162,Stantec Consulting Ltd.
2016,1342,Signature Aluminum Canada Inc.,Pickering,Pickering,331317,15029.15,0,6.3,80.6,0,0,0,0,15117,15117,15117,GHD Limited (formerly CRA)
2017,1342,Signature Aluminum Canada Inc.,Pickering,Pickering,331317,15058.98,0,6.3,80.6,0,0,0,0,15146,15146,15146,GHD
2018,1342,Signature Aluminum Canada Inc.,Pickering,Pickering,331317,15232,0,6.3,83.7,0,0,0,0,15322,15322,15322,
2010,1043,Essroc Canada Inc,Picton Plant,Picton,327310,603273,0,0,0,0,0,0,,603273,603273,,
2011,1043,Essroc Canada Inc,Picton  Plant,Picton,327310,585176.84,0,2228.31,17102.7437,0,0,0,,604508,604508,604508,Ernst & Young LLP
2012,1043,Essroc Canada Inc.,Picton  Plant,Picton,327310,616149,0,656.67,341,0,0,0,,617147,617147,617147,Ernst & Young LLP
2013,1043,Essroc Canada Inc.,Picton  Plant,Picton,327310,471239.19,0,638.085,537.23,0,0,0,,472415,472415,472415,Ernst & Young LLP
2014,1043,Essroc Canada Inc.,Picton  Plant,Picton,327310,542456.5672,0,667.4657,529.7683,0,0,0,,543654,543654,543654,Ernst & Young LLP
2015,1043,Essroc Canada Inc.,Picton  Plant,Picton,327310,524119.5137,0,592.074,467.17,0,0,0,0,525179,525179,525179,GHD Limited (formerly CRA)
2016,1043,Heidelberg Cement Group,Picton  Plant,Picton,327310,644775.222,0,1062.516,618.76,0,0,0,0,646457,646457,645456,GHD Limited (formerly CRA)
